index,lat,lng,City,Temperature,Humidity(%),Cloudiness(%),Wind_Speed(mph)
59,19.91101609320168,-79.92766871547383,bodden town,298.3,74,29,8.22
60,-10.764644563234356,45.75874003621655,domoni,299.04,67,0,6.4
61,89.97514671170896,-62.70578774057438,narsaq,273.65,96,100,5.72
62,-53.89736311728009,-14.195418469219788,cape town,271.55,64,100,13.4
63,25.237054705250813,154.06183269958484,hasaki,301.53,80,44,2.97
64,-18.925129706467274,174.02146035209415,isangel,297.21,62,100,5.24
65,61.604497419136294,85.5979594722034,belyy yar,301.04,25,17,5.17
66,-19.063326755367513,-152.9417504922809,tevaitoa,298.93,76,20,2.8
68,61.408666374607606,-166.9180873629511,nome,278.87,97,100,8.37
69,3.971746835478214,86.88775908578384,wattegama,299.57,82,100,10.63
70,49.52994103473824,3.0846678838692583,noyon,293.84,61,99,1.65
72,-63.65121836101687,44.62619121389042,port alfred,271.25,95,100,4.3
73,62.15175736542008,-128.99134323566204,norman wells,279.3,92,100,2.47
74,-27.974953391103554,91.98738485040388,carnarvon,290.68,57,0,7.76
75,71.77128060302684,-53.42468200954923,upernavik,274.75,94,97,0.54
76,27.364685031661764,-89.40070811555654,estelle,301.95,72,35,4.81
77,-81.16126543082818,-3.9825479753589264,hermanus,245.9,76,100,8.89
79,28.161445574095083,55.29638073429072,darab,315.02,12,4,6.79
80,17.885110048119884,-78.34403886434907,black river,300.06,75,100,1.58
81,52.88352477595666,-132.82200861984435,ketchikan,283.15,84,45,6.76
82,17.417599491447675,77.8002590202322,vikarabad,303.69,50,96,3.24
83,66.63867944773455,-58.523780748643404,sisimiut,274.16,91,92,1.29
84,-56.03217639506127,-119.35698311551374,rikitea,277.89,98,100,7.38
85,62.79048204176314,58.90388168109661,vuktyl,288.45,87,100,2.75
86,-10.150815096926223,151.05631644906924,samarai,299.72,82,90,5.59
87,82.16747475336044,-23.92635248195677,illoqqortoormiut,273.85,83,100,9.99
89,46.39494546240158,-107.71671963020383,billings,286.63,56,0,3.53
90,-33.72309209157489,15.788595101716226,saldanha,290.97,77,65,2.88
91,62.08966195083897,103.26086197526524,vanavara,295.26,46,100,2.71
92,39.99363862768516,-77.00167194783799,hanover,292.06,93,92,0.59
93,-19.67887624409167,96.36101756748536,palabuhanratu,297.01,86,87,8.93
94,60.5460881752885,134.03252047176176,ust-maya,295.38,63,68,1.54
95,48.422442449785876,160.86083075248808,petropavlovsk-kamchatskiy,280.72,94,70,8.02
96,-66.65342427300196,-176.34187792737444,vaini,273.27,97,100,9.43
97,-9.086158802427533,-26.839388607523915,olinda,299.42,78,98,11.55
99,48.178087095294984,6.2940186341743924,epinal,291.88,94,100,1.85
104,9.486486082309696,-101.567830058606,acapulco,299.18,83,100,10.8
105,58.01390091890923,0.724441111734393,peterhead,285.72,95,100,6.6
107,55.69025681777666,-163.4224521975998,bethel,281.85,74,100,3.79
